actual_gesture,predicted_gesture,confidence
OPEN PALM,OPEN PALM,78.0
OPEN PALM,OPEN PALM,66.0
OPEN PALM,OPEN PALM,64.66666666666666
OPEN PALM,OPEN PALM,62.0
OPEN PALM,OPEN PALM,63.33333333333333
OPEN PALM,OPEN PALM,68.0
OPEN PALM,OPEN PALM,64.0
OPEN PALM,OPEN PALM,57.99999999999999
OPEN PALM,OPEN PALM,41.333333333333336
OPEN PALM,OPEN PALM,40.666666666666664
OPEN PALM,OPEN PALM,46.0
OPEN PALM,OPEN PALM,48.66666666666667
OPEN PALM,OPEN PALM,54.0
OPEN PALM,OPEN PALM,64.66666666666666
OPEN PALM,OPEN PALM,94.0
OPEN PALM,OPEN PALM,93.33333333333333
OPEN PALM,OPEN PALM,94.0
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,91.33333333333333
OPEN PALM,OPEN PALM,87.33333333333333
OPEN PALM,OPEN PALM,78.66666666666666
OPEN PALM,OPEN PALM,80.66666666666666
OPEN PALM,OPEN PALM,83.33333333333334
OPEN PALM,OPEN PALM,85.33333333333334
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,87.33333333333333
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,92.0
OPEN PALM,OPEN PALM,90.0
OPEN PALM,OPEN PALM,86.0
OPEN PALM,OPEN PALM,86.66666666666667
OPEN PALM,OPEN PALM,86.0
OPEN PALM,OPEN PALM,84.66666666666667
OPEN PALM,OPEN PALM,86.0
OPEN PALM,OPEN PALM,90.0
OPEN PALM,OPEN PALM,87.33333333333333
OPEN PALM,OPEN PALM,89.33333333333333
OPEN PALM,OPEN PALM,90.66666666666666
OPEN PALM,OPEN PALM,90.0
OPEN PALM,OPEN PALM,93.33333333333333
OPEN PALM,OPEN PALM,93.33333333333333
OPEN PALM,OPEN PALM,93.33333333333333
OPEN PALM,OPEN PALM,92.66666666666666
OPEN PALM,OPEN PALM,93.33333333333333
OPEN PALM,OPEN PALM,93.33333333333333
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,94.0
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,98.66666666666667
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,88.0
OPEN PALM,OPEN PALM,73.33333333333333
OPEN PALM,OPEN PALM,85.33333333333334
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,54.666666666666664
OPEN PALM,OPEN PALM,48.66666666666667
OPEN PALM,OPEN PALM,42.66666666666667
OPEN PALM,THREE,39.33333333333333
OPEN PALM,OPEN PALM,36.0
OPEN PALM,THREE,35.333333333333336
OPEN PALM,THREE,37.333333333333336
OPEN PALM,THREE,36.666666666666664
OPEN PALM,THREE,34.66666666666667
OPEN PALM,THREE,36.0
OPEN PALM,OPEN PALM,32.0
OPEN PALM,THREE,31.333333333333336
OPEN PALM,THREE,32.0
OPEN PALM,OPEN PALM,33.33333333333333
OPEN PALM,OPEN PALM,39.33333333333333
OPEN PALM,OPEN PALM,50.66666666666667
